Mode,Chi Square Test p-values
orient_1_2,0.09445389608798734
orient_1_3,0.44575701749462393
orient_1_4,0.524169421305671
orient_2_1,0.6668365216673323
orient_3_1,0.32089426564358325
orient_4_1,0.2674214294570624
spac_m1,0.2966545883866902
spac_m1_r,0.8688520371302353
spac_m2,0.2544505826463333
spac_m2_r,1.0
spac_p1,1.0
spac_p1_r,0.7849302427627245
spac_p2,0.5832619560220337
spac_p2_r,0.15773101442863188
